Designator,Mid X,Mid Y,Rotation,Layer
BT1,108.02,-83.805,0.0,bottom
D1,126.369375,-74.845,0.0,top
D10,164.469375,-89.132501,0.0,top
D11,164.469375,-108.182501,0.0,top
D12,93.008586,-138.872676,20.0,top
D13,183.519375,-74.845,0.0,top
D14,183.519375,-93.895001,0.0,top
D15,183.519375,-112.945001,0.0,top
D16,114.23346,-131.704917,10.0,top
D17,202.569375,-81.512501,0.0,top
D18,202.569375,-100.562501,0.0,top
D19,202.569375,-119.612501,0.0,top
D2,126.369375,-93.895001,0.0,top
D20,221.0,-119.8,0.0,top
D3,126.369375,-112.945001,0.0,top
D4,221.0,-81.5,0.0,top
D5,145.419375,-72.46375,0.0,top
D6,145.419375,-91.513751,0.0,top
D7,145.419375,-110.563751,0.0,top
D8,221.0,-100.5,0.0,top
D9,164.469375,-70.082501,0.0,top
J1,189.6,-131.33,0.0,top
SW1,129.33,-69.404248,180.0,top
SW10,167.43,-83.453749,180.0,top
SW11,167.43,-102.503749,180.0,top
SW12,101.873655,-138.672751,20.0,top
SW13,186.48,-69.104248,180.0,top
SW14,186.48,-88.154249,180.0,top
SW15,186.48,-107.204249,180.0,top
SW16,122.761157,-133.094808,10.0,top
SW17,205.53,-76.103749,180.0,top
SW18,205.53,-95.153749,180.0,top
SW19,205.53,-114.203749,180.0,top
SW2,129.33,-88.454249,180.0,top
SW20,224.58,-114.228749,180.0,top
SW21,101.25,-117.3,90.0,top
SW3,129.33,-107.504249,180.0,top
SW4,224.58,-76.128749,180.0,top
SW5,148.38,-66.903998,180.0,top
SW6,148.38,-85.953999,180.0,top
SW7,148.38,-105.003999,180.0,top
SW8,224.58,-95.178749,180.0,top
SW9,167.43,-64.403749,180.0,top
